t_ns,core,freq_khz
1785960955472614311,2,3680387
1785960955472614311,3,3317455
1785960955472614311,4,3680549
1785960955472614311,5,3632724
1785960955472614311,6,3612544
1785960955472614311,7,2876652
1785960955573048425,0,3751899
1785960955573048425,1,3751888
1785960955573048425,2,3134874
1785960955573048425,3,905619
1785960955573048425,4,3781094
1785960955573048425,5,3800000
1785960955573048425,6,1634036
1785960955573048425,7,984521
1785960955673360436,0,3654286
1785960955673360436,1,3654396
1785960955673360436,2,3672801
1785960955673360436,3,3674215
1785960955673360436,4,3689085
1785960955673360436,5,3660394
1785960955673360436,6,3654188
1785960955673360436,7,3665260
1785960955773690139,0,3800000
1785960955773690139,1,3800000
1785960955773690139,2,3611362
1785960955773690139,3,3677921
1785960955773690139,4,3800000
1785960955773690139,5,3799886
1785960955773690139,6,3608284
1785960955773690139,7,3632968
1785960955874048525,0,3700000
1785960955874048525,1,3699962
1785960955874048525,2,3356430
1785960955874048525,3,400411
1785960955874048525,4,3705522
1785960955874048525,5,3699119
1785960955874048525,6,400782
1785960955874048525,7,401485
1785960955974371376,0,3475827
1785960955974371376,1,3475939
1785960955974371376,2,3497773
1785960955974371376,3,3498883
1785960955974371376,4,3490894
1785960955974371376,5,3499408
1785960955974371376,6,3475708
1785960955974371376,7,3464286
1785960956074837200,0,3699962
1785960956074837200,1,3700037
1785960956074837200,2,2449588
1785960956074837200,3,2452660
1785960956074837200,4,3700000
1785960956074837200,5,3700000
1785960956074837200,6,772003
1785960956074837200,7,2846213
1785960956175176341,0,3799961
1785960956175176341,1,3800000
1785960956175176341,2,2055881
1785960956175176341,3,2844394
1785960956175176341,4,3800000
1785960956175176341,5,3795393
1785960956175176341,6,986084
1785960956175176341,7,3243364
1785960956275503495,0,3800000
1785960956275503495,1,3800000
1785960956275503495,2,3800000
1785960956275503495,3,3751679
1785960956275503495,4,3799778
1785960956275503495,5,3800000
1785960956275503495,6,3054180
1785960956275503495,7,3165051
1785960956375935994,0,3800000
1785960956375935994,1,3800000
1785960956375935994,2,3800000
1785960956375935994,3,3800000
1785960956375935994,4,3800000
1785960956375935994,5,3828540
1785960956375935994,6,3800638
1785960956375935994,7,3800479
1785960956476258789,0,3600000
1785960956476258789,1,3599963
1785960956476258789,2,769498
1785960956476258789,3,3600000
1785960956476258789,4,3600000
1785960956476258789,5,3598274
1785960956476258789,6,2599519
1785960956476258789,7,3219364
1785960956576595367,0,3600000
1785960956576595367,1,3600000
1785960956576595367,2,641003
1785960956576595367,3,3600000
1785960956576595367,4,3600000
1785960956576595367,5,3599094
1785960956576595367,6,611502
1785960956576595367,7,3600237
1785960956677027685,0,3733588
1785960956677027685,1,3733910
1785960956677027685,2,1922300
1785960956677027685,3,1419168
